Source;Target;Weight;Type
731;30378;0.820223018904;"Undirected"
731;31062;0.820223018904;"Undirected"
748;25506;0.829370216842;"Undirected"
750;5025;0.820223018904;"Undirected"
750;27212;0.820223018904;"Undirected"
750;29136;0.820223018904;"Undirected"
750;30378;0.820223018904;"Undirected"
750;31062;0.820223018904;"Undirected"
756;911;0.911867615585;"Undirected"
769;26082;0.865905878084;"Undirected"
796;5978;0.848015677102;"Undirected"
796;9022;0.848015677102;"Undirected"
822;4759;0.844257577832;"Undirected"
822;4855;0.844257577832;"Undirected"
911;756;0.911867615585;"Undirected"
937;5186;0.885908888248;"Undirected"
973;5025;0.820223018904;"Undirected"
973;27212;0.820223018904;"Undirected"
973;29136;0.820223018904;"Undirected"
973;30378;0.820223018904;"Undirected"
973;31062;0.820223018904;"Undirected"
984;21826;0.903265202089;"Undirected"
984;31427;0.890161483304;"Undirected"
985;26033;0.804676655367;"Undirected"
985;31411;0.801444432437;"Undirected"
1037;1447;0.884586969484;"Undirected"
1090;9791;0.840765584602;"Undirected"
1090;9794;0.840765584602;"Undirected"
1127;29420;0.856871862714;"Undirected"
1133;4355;0.833712643422;"Undirected"
1134;6910;0.824327541264;"Undirected"
1134;21543;0.85604056354;"Undirected"
1134;25926;0.801462565436;"Undirected"
1134;31308;0.809227187462;"Undirected"
1140;150;0.860406151125;"Undirected"
1146;1253;0.816321687511;"Undirected"
1146;1294;0.816321687511;"Undirected"
1146;6582;0.81130985611;"Undirected"
1146;20382;0.81130985611;"Undirected"
1146;29035;0.816321687511;"Undirected"
1149;21633;0.803586087544;"Undirected"
1149;29564;0.808733114761;"Undirected"
1151;70;0.800685867655;"Undirected"
1152;4502;0.852336367535;"Undirected"
1152;4815;0.8987123684;"Undirected"
1152;4943;0.802346072564;"Undirected"
1216;5025;0.820223018904;"Undirected"
1216;27212;0.820223018904;"Undirected"
1216;29136;0.820223018904;"Undirected"
1216;30378;0.820223018904;"Undirected"
1216;31062;0.820223018904;"Undirected"
1245;26860;0.824788984386;"Undirected"
1252;9185;0.814051512408;"Undirected"
1252;27585;0.832928271917;"Undirected"
1252;27588;0.832928271917;"Undirected"
1253;387;0.816321687511;"Undirected"
1253;504;0.816321687511;"Undirected"
1253;706;0.816321687511;"Undirected"
1253;1146;0.816321687511;"Undirected"
1253;5460;0.816321687511;"Undirected"
1253;5615;0.816321687511;"Undirected"
1253;6224;0.816321687511;"Undirected"
1253;6268;0.816321687511;"Undirected"
1253;7057;0.816321687511;"Undirected"
1253;9690;0.816321687511;"Undirected"
1253;9764;0.816321687511;"Undirected"
1253;9896;0.816321687511;"Undirected"
1253;10210;0.816321687511;"Undirected"
1253;10266;0.816321687511;"Undirected"
1253;10717;0.816321687511;"Undirected"
1253;10725;0.816321687511;"Undirected"
1253;10828;0.816321687511;"Undirected"
1253;10895;0.816321687511;"Undirected"
1253;10954;0.816321687511;"Undirected"
1253;18143;0.816321687511;"Undirected"
1253;18159;0.816321687511;"Undirected"
1253;18271;0.816321687511;"Undirected"
1253;18576;0.816321687511;"Undirected"
1253;18942;0.835142111965;"Undirected"
1253;20071;0.816321687511;"Undirected"
1253;20073;0.816321687511;"Undirected"
1253;20088;0.816321687511;"Undirected"
1253;20244;0.816321687511;"Undirected"
1253;21308;0.816321687511;"Undirected"
1253;21687;0.816321687511;"Undirected"
1253;22491;0.816321687511;"Undirected"
1253;24172;0.816321687511;"Undirected"
1253;24466;0.816321687511;"Undirected"
1253;25358;0.816321687511;"Undirected"
1253;26071;0.816321687511;"Undirected"
1253;26412;0.816321687511;"Undirected"
1253;28119;0.816321687511;"Undirected"
1253;28201;0.816321687511;"Undirected"
1253;28608;0.816321687511;"Undirected"
1253;29002;0.816321687511;"Undirected"
1253;30798;0.816321687511;"Undirected"
1253;30799;0.816321687511;"Undirected"
1253;30835;0.816321687511;"Undirected"
1253;31389;0.816321687511;"Undirected"
1253;31406;0.816321687511;"Undirected"
1277;23749;0.830999537615;"Undirected"
1294;387;0.816321687511;"Undirected"
1294;504;0.816321687511;"Undirected"
1294;706;0.816321687511;"Undirected"
1294;1146;0.816321687511;"Undirected"
1294;5460;0.816321687511;"Undirected"
1294;5615;0.816321687511;"Undirected"
1294;6224;0.816321687511;"Undirected"
1294;6268;0.816321687511;"Undirected"
1294;7057;0.816321687511;"Undirected"
1294;9690;0.816321687511;"Undirected"
1294;9764;0.816321687511;"Undirected"
1294;9896;0.816321687511;"Undirected"
1294;10210;0.816321687511;"Undirected"
1294;10266;0.816321687511;"Undirected"
1294;10717;0.816321687511;"Undirected"
1294;10725;0.816321687511;"Undirected"
1294;10828;0.816321687511;"Undirected"
1294;10895;0.816321687511;"Undirected"
1294;10954;0.816321687511;"Undirected"
1294;18143;0.816321687511;"Undirected"
1294;18159;0.816321687511;"Undirected"
1294;18271;0.816321687511;"Undirected"
